Streams,ancho,alto,canales,Tiempo_ms
1,100,100,3,569.412
1,100,100,3,571.015
1,100,100,3,582.815
1,100,100,3,581.898
1,100,100,3,577.232
1,100,100,3,565.525
1,100,100,3,563.598
1,100,100,3,580.05
1,100,100,3,573.75
1,100,100,3,568.657
1,100,100,3,569.338
1,100,100,3,566.256
1,100,100,3,583.421
1,100,100,3,585.163
1,100,100,3,567.022
1,100,100,3,567.245
1,100,100,3,575.138
1,100,100,3,578.055
1,100,100,3,582.467
1,100,100,3,581.799
1,100,100,3,564.531
1,100,100,3,564.808
1,100,100,3,581.677
1,100,100,3,565.261
1,100,100,3,565.535
1,100,100,3,583.388
1,100,100,3,564.466
1,100,100,3,565.694
1,100,100,3,578.083
1,100,100,3,580.72
1,100,100,3,565.288
1,100,100,3,564.18
2,100,100,3,428.123
2,100,100,3,443.842
2,100,100,3,445.268
2,100,100,3,445.478
2,100,100,3,445.915
2,100,100,3,444.629
2,100,100,3,445.315
2,100,100,3,444.861
2,100,100,3,427.369
2,100,100,3,429.155
2,100,100,3,428.042
2,100,100,3,426.995
2,100,100,3,426.648
2,100,100,3,426.423
2,100,100,3,443.578
2,100,100,3,441.351
2,100,100,3,428.969
2,100,100,3,427.981
2,100,100,3,442.401
2,100,100,3,441.276
2,100,100,3,441.089
2,100,100,3,427.49
2,100,100,3,443.606
2,100,100,3,444.829
2,100,100,3,427.487
2,100,100,3,426.028
2,100,100,3,426.715
2,100,100,3,427.74
2,100,100,3,425.802
2,100,100,3,426.776
2,100,100,3,427.369
2,100,100,3,427.265
4,100,100,3,358.981
4,100,100,3,375.161
4,100,100,3,359.311
4,100,100,3,359.056
4,100,100,3,359.727
4,100,100,3,358.974
4,100,100,3,358.618
4,100,100,3,359.287
4,100,100,3,374.863
4,100,100,3,357.872
4,100,100,3,375.123
4,100,100,3,359.352
4,100,100,3,371.002
4,100,100,3,376.363
4,100,100,3,358.4
4,100,100,3,380.522
4,100,100,3,358.793
4,100,100,3,358.524
4,100,100,3,358.762
4,100,100,3,373.432
4,100,100,3,358.741
4,100,100,3,361.789
4,100,100,3,376.139
4,100,100,3,359.358
4,100,100,3,374.765
4,100,100,3,374.346
4,100,100,3,358.14
4,100,100,3,359.398
4,100,100,3,376.272
4,100,100,3,359.461
4,100,100,3,373.068
4,100,100,3,357.792
8,100,100,3,323.239
8,100,100,3,323.679
8,100,100,3,341.189
8,100,100,3,324.559
8,100,100,3,342.895
8,100,100,3,326.334
8,100,100,3,342.7
8,100,100,3,324.832
8,100,100,3,342.071
8,100,100,3,324.066
8,100,100,3,324.629
8,100,100,3,339.752
8,100,100,3,324.259
8,100,100,3,339.308
8,100,100,3,324.802
8,100,100,3,340.391
8,100,100,3,324.965
8,100,100,3,342.017
8,100,100,3,323.208
8,100,100,3,323.705
8,100,100,3,324.146
8,100,100,3,323.858
8,100,100,3,325.144
8,100,100,3,326.152
8,100,100,3,339.966
8,100,100,3,325.539
8,100,100,3,325.258
8,100,100,3,323.954
8,100,100,3,323.962
8,100,100,3,359.683
8,100,100,3,323.78
8,100,100,3,323.766
16,100,100,3,307.021
16,100,100,3,306.74
16,100,100,3,307.902
16,100,100,3,307.075
16,100,100,3,307.605
16,100,100,3,324.898
16,100,100,3,308.471
16,100,100,3,309.201
16,100,100,3,309.25
16,100,100,3,309.56
16,100,100,3,325.564
16,100,100,3,319.149
16,100,100,3,320.234
16,100,100,3,325.676
16,100,100,3,308.115
16,100,100,3,307.858
16,100,100,3,325.654
16,100,100,3,321.092
16,100,100,3,323.862
16,100,100,3,319.478
16,100,100,3,308.291
16,100,100,3,308.319
16,100,100,3,323.642
16,100,100,3,325.734
16,100,100,3,308.571
16,100,100,3,308.515
16,100,100,3,307.666
16,100,100,3,309.608
16,100,100,3,325.294
16,100,100,3,308.49
16,100,100,3,309.914
16,100,100,3,322.8124
